TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :)
TestCase 1,notReady,LL,Linux,Local,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 2,notReady,LL,Linux,Local + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 3,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 4,notReady,LL,MAC,Local,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 5,notReady,LL,MAC,Local + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 6,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 7,notReady,LL,Linux,Local,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 8,notReady,LL,Linux,Local + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 9,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 10,notReady,LL,MAC,Local,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 11,notReady,LL,MAC,Local + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 12,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 13,notReady,LL,Linux,Local,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 14,notReady,LL,Linux,Local + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 15,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 16,notReady,LL,MAC,Local,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 17,notReady,LL,MAC,Local + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 18,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 19,notReady,LL,Linux,Local,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 20,notReady,LL,Linux,Local + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 21,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 22,notReady,LL,MAC,Local,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 23,notReady,LL,MAC,Local + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 24,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 25,notReady,LL,Linux,Local,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 26,notReady,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 27,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 28,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 29,notReady,LL,MAC,Local + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 30,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 31,notReady,LL,Linux,Local,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 32,notReady,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 33,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 34,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 35,notReady,LL,MAC,Local + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 36,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 37,notReady,LL,Linux,Local,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 38,notReady,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 39,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 40,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 41,notReady,LL,MAC,Local + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
TestCase 42,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA
TestCase 43,notReady,LL,Linux,Local,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE
TestCase 44,notReady,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,ESRA
